,date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
1147,2016-02-15,Maan,Ma'an District,Maan,30.3544979095459,36.56766891479492,non-food,Fuel (kerosene),L,0.32,0.4506
1148,2016-02-15,Maan,Ma'an District,Maan,30.3544979095459,36.56766891479492,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1149,2016-02-15,Madaba,Qasabet Madaba District,Madaba,31.71928977966309,35.793209075927734,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1150,2016-02-15,Madaba,Qasabet Madaba District,Madaba,31.71928977966309,35.793209075927734,non-food,Fuel (kerosene),L,0.32,0.4506
1151,2016-02-15,Madaba,Qasabet Madaba District,Madaba,31.71928977966309,35.793209075927734,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1152,2016-02-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1153,2016-02-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (kerosene),L,0.32,0.4506
1154,2016-02-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1178,2016-03-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1179,2016-03-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (kerosene),L,0.32,0.4506
1180,2016-03-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1181,2016-03-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1182,2016-03-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (kerosene),L,0.32,0.4506
1183,2016-03-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1184,2016-03-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1185,2016-03-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (kerosene),L,0.32,0.4506
1186,2016-03-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1187,2016-03-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1188,2016-03-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (kerosene),L,0.32,0.4506
1189,2016-03-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1190,2016-03-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1191,2016-03-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (kerosene),L,0.32,0.4506
1192,2016-03-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1193,2016-03-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1194,2016-03-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (kerosene),L,0.32,0.4506
1195,2016-03-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1196,2016-03-15,Amman,Al_Qwaismeh District,Amman,31.91332054138184,35.96791076660156,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1197,2016-03-15,Amman,Al_Qwaismeh District,Amman,31.91332054138184,35.96791076660156,non-food,Fuel (kerosene),L,0.32,0.4506
1198,2016-03-15,Amman,Al_Qwaismeh District,Amman,31.91332054138184,35.96791076660156,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1199,2016-03-15,Irbid,Qasabet Irbid District,Irbid,32.546085357666016,35.80170440673828,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1200,2016-03-15,Irbid,Qasabet Irbid District,Irbid,32.546085357666016,35.80170440673828,non-food,Fuel (kerosene),L,0.32,0.4506
1201,2016-03-15,Irbid,Qasabet Irbid District,Irbid,32.546085357666016,35.80170440673828,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1202,2016-03-15,Jarash,Qasabet Jerash District,Jarash,32.261898040771484,35.8680534362793,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1203,2016-03-15,Jarash,Qasabet Jerash District,Jarash,32.261898040771484,35.8680534362793,non-food,Fuel (kerosene),L,0.32,0.4506
1204,2016-03-15,Jarash,Qasabet Jerash District,Jarash,32.261898040771484,35.8680534362793,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1205,2016-03-15,Maan,Ma'an District,Maan,30.3544979095459,36.56766891479492,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1206,2016-03-15,Maan,Ma'an District,Maan,30.3544979095459,36.56766891479492,non-food,Fuel (kerosene),L,0.32,0.4506
1207,2016-03-15,Maan,Ma'an District,Maan,30.3544979095459,36.56766891479492,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1208,2016-03-15,Madaba,Qasabet Madaba District,Madaba,31.71928977966309,35.793209075927734,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1209,2016-03-15,Madaba,Qasabet Madaba District,Madaba,31.71928977966309,35.793209075927734,non-food,Fuel (kerosene),L,0.32,0.4506
1210,2016-03-15,Madaba,Qasabet Madaba District,Madaba,31.71928977966309,35.793209075927734,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1211,2016-03-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1212,2016-03-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (kerosene),L,0.32,0.4506
1213,2016-03-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1237,2016-04-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1238,2016-04-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (kerosene),L,0.35,0.4999
1239,2016-04-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (petrol-gasoline),L,0.53,0.7393
1240,2016-04-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1241,2016-04-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (kerosene),L,0.35,0.4999
1242,2016-04-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (petrol-gasoline),L,0.53,0.7393
1243,2016-04-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1244,2016-04-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (kerosene),L,0.35,0.4999
1245,2016-04-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (petrol-gasoline),L,0.53,0.7393
1246,2016-04-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (gas),12.5 KG,7.0,9.8578
